    N   =   10000
      x:            y:             z:          PE:            KE:
    -0.43375896      19.122574    0.076780720
    -0.47682925      19.120193    0.077330171
    -0.51989718      19.117717    0.077879237
    -0.56296253      19.115145    0.078427916
    -0.60602510      19.112478    0.078976204
    -0.64908466      19.109716    0.079524100
    -0.69214100      19.106859    0.080071600
    -0.73519390      19.103906    0.080618701
    -0.77824315      19.100858    0.081165401
    -0.82128854      19.097715    0.081711696
    -0.86432984      19.094476    0.082257585
    -0.90736684      19.091142    0.082803063
    -0.95039933      19.087713    0.083348129
    -0.99342709      19.084189    0.083892780
     -1.0364499      19.080569    0.084437012
     -1.0794676      19.076854    0.084980823
     -1.1224798      19.073044    0.085524210
     -1.1654865      19.069138    0.086067171
     -1.2084874      19.065137    0.086609702
     -1.2514822      19.061041    0.087151800
     -1.2944708      19.056849    0.087693464
     -1.3374530      19.052563    0.088234689
     -1.3804284      19.048180    0.088775474
     -1.4233970      19.043703    0.089315816
     -1.4663585      19.039130    0.089855711
     -1.5093126      19.034462    0.090395157
     -1.5522592      19.029699    0.090934152
     -1.5951981      19.024841    0.091472691
     -1.6381289      19.019887    0.092010773
     -1.6810516      19.014838    0.092548395
     -1.7239659      19.009693    0.093085554
     -1.7668715      19.004454    0.093622247
     -1.8097683      18.999119    0.094158471
     -1.8526561      18.993689    0.094694224
     -1.8955346      18.988163    0.095229503
     -1.9384035      18.982543    0.095764305
     -1.9812628      18.976827    0.096298627
     -2.0241121      18.971016    0.096832466
     -2.0669513      18.965110    0.097365820
     -2.1097802      18.959109    0.097898687
     -2.1525984      18.953012    0.098431062
     -2.1954059      18.946821    0.098962943
     -2.2382023      18.940534    0.099494329
     -2.2809875      18.934152     0.10002521
     -2.3237613      18.927675     0.10055560
     -2.3665234      18.921103     0.10108548
     -2.4092736      18.914435     0.10161485
     -2.4520117      18.907673     0.10214371
     -2.4947375      18.900816     0.10267206
     -2.5374508      18.893863     0.10319989
     -2.5801513      18.886816     0.10372721
     -2.6228389      18.879673     0.10425400
     -2.6655132      18.872436     0.10478027
     -2.7081742      18.865103     0.10530601
     -2.7508215      18.857676     0.10583122
     -2.7934550      18.850153     0.10635590
     -2.8360744      18.842536     0.10688005
     -2.8786796      18.834824     0.10740365
     -2.9212702      18.827017     0.10792672
     -2.9638462      18.819115     0.10844924
